Random-10-Repeat-10 string length 1000 by LCE value,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
26,3.26159e-008,1.4946e-008,4.01587e-008,5.37079e-008,6.08318e-008,3.81333e-008,2.62603e-008,2.89841e-008,3.77841e-008,3.77841e-008,3.79937e-008,3.7854e-008,3.99492e-008,4.2673e-008,3.89714e-008,2.93333e-008,5.57333e-008,3.85524e-008,3.24762e-008,6.32064e-008,3.20571e-008,3.63873e-008,3.11492e-008,4.71429e-008,4.84e-008,3.86222e-008,5.04254e-008,5.55937e-008,5.80381e-008,
27,3.53397e-008,1.48064e-008,4.07175e-008,5.53143e-008,6.2927e-008,3.95302e-008,2.73079e-008,2.97524e-008,3.92508e-008,3.90413e-008,3.90413e-008,3.90413e-008,4.14159e-008,4.34413e-008,3.98794e-008,2.65397e-008,5.16127e-008,3.93905e-008,3.28952e-008,5.02857e-008,3.87619e-008,4.5746e-008,3.03111e-008,4.60952e-008,4.74921e-008,3.82032e-008,4.96571e-008,5.48254e-008,5.49651e-008,
28,3.63873e-008,1.46667e-008,3.6946e-008,5.16127e-008,6.40445e-008,4.05079e-008,2.39556e-008,3.0381e-008,3.97397e-008,3.96698e-008,3.98794e-008,4.00889e-008,3.98794e-008,4.42794e-008,4.07175e-008,2.84952e-008,5.38476e-008,3.47111e-008,2.94032e-008,7.00508e-008,3.20571e-008,3.61778e-008,3.08698e-008,4.73524e-008,4.90286e-008,3.87619e-008,5.14032e-008,5.47556e-008,5.39873e-008,
29,3.51302e-008,1.50857e-008,3.95302e-008,5.34286e-008,6.66286e-008,4.37206e-008,2.53524e-008,3.12889e-008,4.12762e-008,4.12762e-008,4.12064e-008,4.15556e-008,4.14159e-008,4.48381e-008,4.16952e-008,2.98222e-008,5.52445e-008,3.68762e-008,3.12889e-008,5.99238e-008,3.19873e-008,3.68064e-008,3.10095e-008,4.77714e-008,4.94476e-008,3.8273e-008,5.74794e-008,5.50349e-008,5.39873e-008,
30,3.58286e-008,1.52952e-008,4.05778e-008,5.52445e-008,6.76762e-008,4.06476e-008,2.62603e-008,2.11619e-008,4.21841e-008,4.21143e-008,4.21143e-008,4.21143e-008,4.21841e-008,4.45587e-008,4.21841e-008,3.04508e-008,5.5454e-008,3.6946e-008,3.18476e-008,6.92127e-008,3.26857e-008,3.6527e-008,3.05206e-008,4.61651e-008,4.74921e-008,3.79238e-008,4.99365e-008,5.51048e-008,5.44064e-008,
31,3.68762e-008,1.5854e-008,4.11365e-008,5.65714e-008,6.96318e-008,1.64825e-008,2.70286e-008,2.24191e-008,1.86476e-008,4.3581e-008,4.3581e-008,4.3581e-008,4.3581e-008,4.58159e-008,2.27683e-008,2.96825e-008,5.82476e-008,3.84825e-008,3.28254e-008,3.79937e-008,3.72952e-008,4.11365e-008,3.08698e-008,4.46984e-008,4.60254e-008,3.84825e-008,4.86095e-008,5.55937e-008,5.5454e-008,
32,3.72952e-008,1.59238e-008,3.77143e-008,5.32889e-008,6.75365e-008,1.85079e-008,2.68191e-008,2.36064e-008,1.97651e-008,4.47683e-008,4.46286e-008,4.47683e-008,4.47683e-008,2.45841e-008,2.32571e-008,3.0381e-008,5.78286e-008,3.87619e-008,3.35238e-008,3.26159e-008,3.80635e-008,4.10667e-008,3.07302e-008,4.42095e-008,4.56064e-008,3.87619e-008,4.83302e-008,5.5873e-008,5.53841e-008,
33,3.8273e-008,1.57143e-008,3.99492e-008,5.51048e-008,6.98413e-008,1.90667e-008,2.82857e-008,2.45143e-008,2.06032e-008,4.56064e-008,4.5746e-008,4.5746e-008,4.5746e-008,2.59111e-008,2.33968e-008,3.20571e-008,5.83873e-008,4.00191e-008,3.38032e-008,3.33841e-008,3.82032e-008,4.14159e-008,3.04508e-008,4.64445e-008,4.78413e-008,3.85524e-008,5.06349e-008,5.83175e-008,5.53143e-008,
34,4.07873e-008,1.50857e-008,4.14159e-008,5.97841e-008,7.15873e-008,1.96254e-008,2.84254e-008,2.57016e-008,2.11619e-008,4.70032e-008,4.67937e-008,4.72127e-008,4.7073e-008,2.73778e-008,2.50032e-008,3.17778e-008,5.91556e-008,4.07175e-008,3.4781e-008,6.37651e-008,3.88318e-008,5.03556e-008,3.08698e-008,4.77714e-008,4.88191e-008,3.86921e-008,5.19619e-008,5.31492e-008,5.49651e-008,
35,3.92508e-008,1.4946e-008,4.19048e-008,5.70603e-008,7.34032e-008,2.00444e-008,2.5981e-008,2.54921e-008,2.19302e-008,4.78413e-008,5.03556e-008,4.78413e-008,4.79111e-008,2.73778e-008,2.96825e-008,3.21968e-008,5.8946e-008,4.10667e-008,3.47111e-008,6.45333e-008,3.76444e-008,4.10667e-008,3.07302e-008,4.69333e-008,4.82603e-008,3.79238e-008,5.11238e-008,5.20318e-008,5.4127e-008,
