All ´a´ string length 1000 by LCE value,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
421,3.517e-007,1.52673e-008,4.28197e-008,5.42038e-008,1.50543e-007,5.64806e-008,1.34933e-007,6.78997e-008,5.14311e-008,6.84445e-008,6.2033e-008,1.56982e-007,3.59508e-007,4.36787e-008,5.31771e-008,3.83149e-008,1.09609e-007,5.71302e-008,4.78203e-008,6.24102e-008,5.40013e-008,7.36965e-008,2.67311e-007,4.89657e-008,5.14032e-008,6.08506e-007,5.33518e-008,7.11613e-008,6.22705e-008,
422,3.52545e-007,1.53441e-008,4.26521e-008,5.4127e-008,1.58896e-007,5.65854e-008,1.36456e-007,6.95619e-008,5.27441e-008,6.98762e-008,6.32622e-008,1.58938e-007,3.759e-007,4.29384e-008,5.37568e-008,3.92438e-008,1.11397e-007,5.77448e-008,5.20178e-008,7.25651e-008,5.46368e-008,7.53448e-008,2.67688e-007,4.82813e-008,5.22762e-008,6.15022e-007,5.30724e-008,7.33194e-008,6.09854e-008,
423,3.58181e-007,1.53092e-008,4.26381e-008,5.72698e-008,1.51458e-007,5.62222e-008,1.31497e-007,6.97365e-008,5.13264e-008,7.18667e-008,6.44984e-008,1.58421e-007,3.55806e-007,4.43213e-008,5.39524e-008,3.5647e-008,1.06745e-007,5.86667e-008,4.86933e-008,6.09575e-008,5.368e-008,7.33403e-008,2.66067e-007,4.84419e-008,5.0174e-008,6.12487e-007,5.31003e-008,7.24324e-008,6.36952e-008,
424,3.53956e-007,1.52813e-008,4.28197e-008,5.69067e-008,1.57834e-007,5.81079e-008,1.27349e-007,7.03302e-008,5.26324e-008,7.33473e-008,6.57765e-008,1.72152e-007,3.60912e-007,4.59206e-008,5.37429e-008,3.54025e-008,1.15978e-007,5.38057e-008,4.77016e-008,5.56845e-008,5.45111e-008,7.3466e-008,2.67436e-007,4.82254e-008,4.98806e-008,6.1058e-007,5.30514e-008,7.13219e-008,6.24241e-008,
425,3.68755e-007,1.51765e-008,4.26032e-008,5.7193e-008,1.57122e-007,5.83175e-008,1.31644e-007,7.16641e-008,5.3233e-008,7.46813e-008,6.70337e-008,1.6134e-007,3.63957e-007,4.59625e-008,5.6313e-008,3.652e-008,1.07821e-007,5.51746e-008,4.77156e-008,5.52305e-008,5.40152e-008,7.3466e-008,2.66989e-007,4.81905e-008,5.00343e-008,6.09582e-007,5.30305e-008,7.59873e-008,6.10203e-008,
426,3.55737e-007,1.50787e-008,4.2701e-008,5.69486e-008,1.56857e-007,5.90089e-008,1.32657e-007,7.10914e-008,5.43505e-008,7.58406e-008,6.82768e-008,1.62346e-007,3.64076e-007,4.73035e-008,5.62711e-008,3.64851e-008,1.08429e-007,5.6341e-008,4.83581e-008,7.14756e-008,5.47486e-008,7.32146e-008,2.6641e-007,5.34495e-008,5.21435e-008,6.09428e-007,5.31352e-008,7.48349e-008,6.35416e-008,
427,3.76137e-007,1.52044e-008,4.2687e-008,5.74375e-008,1.49209e-007,5.81289e-008,1.2547e-007,6.92197e-008,5.53562e-008,7.69441e-008,6.97505e-008,1.70217e-007,3.61135e-007,4.74292e-008,5.61664e-008,3.72883e-008,1.10789e-007,5.69556e-008,4.85537e-008,5.60756e-008,5.39664e-008,7.35848e-008,2.65257e-007,4.82394e-008,5.09073e-008,6.00858e-007,5.31143e-008,7.35429e-008,6.57416e-008,
428,3.65249e-007,1.52114e-008,4.27219e-008,5.7633e-008,1.53371e-007,6.06083e-008,1.38188e-007,6.75994e-008,5.65505e-008,7.75168e-008,7.08121e-008,1.7285e-007,3.5992e-007,4.88051e-008,5.74724e-008,3.81962e-008,1.10286e-007,5.74305e-008,4.97968e-008,7.63156e-008,5.46438e-008,7.3906e-008,2.64063e-007,4.82603e-008,5.01321e-008,6.09288e-007,5.42946e-008,7.11613e-008,6.44705e-008,
429,3.58342e-007,1.51765e-008,4.28406e-008,5.73886e-008,1.55739e-007,6.1153e-008,1.3816e-007,7.03302e-008,5.65645e-008,7.86273e-008,7.22508e-008,1.74163e-007,3.66373e-007,4.93079e-008,5.7661e-008,3.98165e-008,1.16013e-007,5.8946e-008,5.0614e-008,6.00146e-008,5.44483e-008,7.392e-008,2.65676e-007,4.81695e-008,5.18921e-008,6.07528e-007,5.30445e-008,6.7753e-008,6.72502e-008,
430,3.63279e-007,1.51765e-008,4.2666e-008,6.13486e-008,1.59385e-007,6.27454e-008,1.30708e-007,6.98064e-008,5.70324e-008,8.08902e-008,7.32845e-008,1.65698e-007,3.63475e-007,5.06489e-008,5.87086e-008,3.88248e-008,1.12144e-007,6.00565e-008,5.13613e-008,7.17829e-008,5.50908e-008,7.38432e-008,2.6282e-007,5.03346e-008,4.98387e-008,6.1218e-007,5.30445e-008,7.19295e-008,6.55181e-008,
